id,user_id,agent_id,amount,duration_months,duration_days,monthly_rate,access_fee,total_payable,daily_charge,outstanding_balance,amount_repaid,status,started_at,expires_at,completed_at,created_at,updated_at
d9e2a842-a0c8-40a0-b79b-d5471d0474c1,1563239f-92a6-41bb-923d-cf224e11c831,,30000,1,30,0.33,9900,39900,1330,39900,0,active,2026-04-02 16:43:22.47653+00,2026-05-02 16:43:22.438+00,,2026-04-02 16:43:22.47653+00,2026-04-13 06:00:03.349787+00
e654cdff-aabe-4341-bb62-c1f34fbf56db,08d99a3e-801c-4546-af19-601042965afc,,30000,1,30,0.33,9900,39900,1330,38570,1330,active,2026-04-12 08:53:23.045331+00,2026-05-12 08:53:22.998+00,,2026-04-12 08:53:23.045331+00,2026-04-13 06:00:03.553446+00
56a04aae-c2a6-4c11-9440-b77a018d6a38,a5fdeba7-13ef-48e9-b93a-a82b8d02807f,,30000,1,30,0.33,9900,39900,1330,39900,0,active,2026-03-25 12:59:35.489879+00,2026-04-24 12:59:35.443+00,,2026-03-25 12:59:35.489879+00,2026-04-13 06:00:03.668502+00
4657e35c-30fd-46a7-9001-fd73f40d5368,7cf6a2fe-3eb4-4c4b-9ad2-0de90721fa3e,,30000,1,30,0.33,9900,39900,1330,39900,0,active,2026-03-25 20:42:29.280746+00,2026-04-24 20:42:29.233+00,,2026-03-25 20:42:29.280746+00,2026-04-13 06:00:03.773954+00
568a2235-ec84-4dc5-ac5f-56a6a1e57951,2a650423-b27b-4e29-8d57-0946e29af77f,,30000,12,360,0.33,889054,919054,2553,919054,0,active,2026-03-27 14:34:38.933667+00,2027-03-22 14:34:38.889+00,,2026-03-27 14:34:38.933667+00,2026-04-13 06:00:03.876111+00
11e2894d-94ed-451f-b2f9-6abef22633dc,2e93132a-6642-4d24-a2a1-2d2be48bb9be,,30000,1,30,0.33,9900,39900,1330,39900,0,active,2026-03-29 05:24:53.681979+00,2026-04-28 05:24:53.636+00,,2026-03-29 05:24:53.681979+00,2026-04-13 06:00:04.0014+00
3a8dbdfa-7aa1-4958-adff-7122e587fec4,e6dc7871-c569-4e86-8613-65e18ea0ba67,,30000,1,30,0.33,9900,39900,1330,39900,0,active,2026-04-04 14:03:15.831523+00,2026-05-04 14:03:15.807+00,,2026-04-04 14:03:15.831523+00,2026-04-13 06:00:04.099074+00
5a8d6791-2537-4663-b86f-a9211614b1b4,956772c8-cbe8-44a9-bc39-cd0c372a1d74,,30000,1,30,0.33,9900,39900,1330,39900,0,active,2026-04-06 13:47:17.770953+00,2026-05-06 13:47:17.726+00,,2026-04-06 13:47:17.770953+00,2026-04-13 06:00:04.192581+00
c5a18d14-baa2-4f14-8c27-03d54f0bf975,479aee4a-873f-4e08-bb5a-35849e0c4a9e,,30000,2,60,0.33,23067,53067,885,53067,0,active,2026-04-06 14:25:05.87362+00,2026-06-05 14:25:05.835+00,,2026-04-06 14:25:05.87362+00,2026-04-13 06:00:04.290771+00
ea93a49d-6028-4670-8a61-384a5d15db88,275ebfa1-c65b-486f-85b9-a65a213d49ee,,30000,1,30,0.33,9900,39900,1330,39900,0,active,2026-03-29 07:13:36.586923+00,2026-04-28 07:13:36.54+00,,2026-03-29 07:13:36.586923+00,2026-04-13 06:00:04.403005+00
c0b9cdfc-961e-42df-8dcf-d4fceab82f66,b1bd45fb-9a6d-4fa7-b94c-689ec1c75b5c,,30000,1,30,0.33,9900,39900,1330,36900,3000,active,2026-03-30 10:30:45.857386+00,2026-04-29 10:30:45.814+00,,2026-03-30 10:30:45.857386+00,2026-04-13 06:00:04.507792+00
430d9037-3c69-44a1-ae7a-a911b23dfe34,ad151d31-a46e-47df-9f8a-bd45c8c5e56e,,30000,1,30,0.33,9900,39900,1330,35910,3990,active,2026-04-10 13:27:55.750261+00,2026-05-10 13:27:55.718+00,,2026-04-10 13:27:55.750261+00,2026-04-13 06:00:04.711567+00
74710457-a1fb-4dcc-bbfc-21f302f815ad,84745e43-c04b-455a-bab4-910a670c1a51,,30000,1,30,0.33,9900,39900,1330,37900,2000,active,2026-04-01 13:56:52.141559+00,2026-05-01 13:56:52.11+00,,2026-04-01 13:56:52.141559+00,2026-04-13 06:00:04.823626+00
64fa319d-e5c8-451b-ada1-b948e223a591,d1ef6301-13b8-4a38-8282-ebda9ed9c1fc,,30000,1,30,0.33,9900,39900,1330,39900,0,active,2026-04-13 08:05:05.538656+00,2026-05-13 08:05:05.494+00,,2026-04-13 08:05:05.538656+00,2026-04-13 08:05:05.538656+00
