id,user_id,employee_id,department,position,must_change_password,created_by,created_at,updated_at
86541316-424c-4e38-afff-f677cd02fff0,0b109aad-212a-4fd0-ab03-3d7aee9cf397,Wel-SP71498,General,Manager,f,0b109aad-212a-4fd0-ab03-3d7aee9cf397,2026-03-09 09:56:38.719482+00,2026-03-09 09:56:38.719482+00
53e278d7-fffd-473a-a0ba-e4881512f913,3233aa76-4611-48b6-bd46-5412feef46e7,Wel-RRO32140,General,Manager,f,3233aa76-4611-48b6-bd46-5412feef46e7,2026-03-09 09:56:38.719482+00,2026-03-09 09:56:38.719482+00
96d0189a-7f40-4ea7-a315-9a146601a652,506fe801-a72c-43ec-96c9-2b00a99d9258,Wel-EL75311,General,Manager,f,506fe801-a72c-43ec-96c9-2b00a99d9258,2026-03-09 09:56:38.719482+00,2026-03-09 09:56:38.719482+00
52f66026-d6eb-4d55-ac5a-2d1a667e837d,7e201db3-d770-44f1-87db-f236febb5678,Wel-BM62896,General,Manager,f,7e201db3-d770-44f1-87db-f236febb5678,2026-03-09 09:56:38.719482+00,2026-03-09 09:56:38.719482+00
7104b554-97af-4896-b0e0-2f3cb411347b,7e506ac9-6c46-4fdf-b888-c972bad7350f,Wel-AC49915,General,Manager,f,7e506ac9-6c46-4fdf-b888-c972bad7350f,2026-03-09 09:56:38.719482+00,2026-03-09 09:56:38.719482+00
b8ece03a-d8ba-425a-b7a4-07e24c5ae47a,99890a2e-b842-4d44-8516-e2eafe0711ff,Wel-GP51167,General,Manager,f,99890a2e-b842-4d44-8516-e2eafe0711ff,2026-03-09 09:56:38.719482+00,2026-03-09 09:56:38.719482+00
b32f9e04-8f14-469f-a05e-830efc88ef4b,b4d7c324-1f7e-4e1c-91a8-3f0e10e0b25c,Wel-LJ37479,General,Manager,f,b4d7c324-1f7e-4e1c-91a8-3f0e10e0b25c,2026-03-09 09:56:38.719482+00,2026-03-09 09:56:38.719482+00
6f9ba225-c3e1-45e3-b299-5ef07850ffd3,cb798acb-68bc-4b4e-a414-a3d374e030b6,Wel-JW90323,General,Manager,f,cb798acb-68bc-4b4e-a414-a3d374e030b6,2026-03-09 09:56:38.719482+00,2026-03-09 09:56:38.719482+00
c97267d3-b1fc-474c-99f8-9555f7da1db1,cfa56623-e6cb-4023-b601-3dbd4fdbc027,Wel-BM33947,General,Manager,f,cfa56623-e6cb-4023-b601-3dbd4fdbc027,2026-03-09 09:56:38.719482+00,2026-03-09 09:56:38.719482+00
09a98de6-d6a2-4ea8-afbc-25d53cf21852,d6ba70d0-0562-45c1-894a-0e537cd958cd,Wel-MME78976,General,Manager,f,d6ba70d0-0562-45c1-894a-0e537cd958cd,2026-03-09 09:56:38.719482+00,2026-03-09 09:56:38.719482+00
203facfb-9124-47c7-acef-7394ab680176,e4f07815-7991-422f-946f-7f351b38e954,Wel-LF17221,General,Manager,f,e4f07815-7991-422f-946f-7f351b38e954,2026-03-09 09:56:38.719482+00,2026-03-09 09:56:38.719482+00
